,place,lon,lat,cooling,fuel,state,f,c,idc
357,1884,-121.125,36.225,5,3,CA,Gas,CC-RC,4
358,1886,-71.475,42.075,5,3,MA,Gas,CC-RC,0
359,1887,-74.375,40.475,5,3,NJ,Gas,CC-RC,3
360,1891,-121.975,37.975,5,3,CA,Gas,CC-RC,0
361,1892,-121.725,39.025,5,3,CA,Gas,CC-RC,3
362,1895,-77.175,37.325,2,2,VA,Coal,ST-RC,1
363,1896,-77.975,33.925,2,1,NC,Bio-power,ST-RC,1
364,1897,-78.975,36.425,2,1,NC,Bio-power,ST-RC,1
365,1898,-77.725,35.975,2,2,NC,Coal,ST-RC,1
366,1904,-70.575,44.525,2,1,ME,Bio-power,ST-RC,4
367,1906,-96.575,28.675,5,3,TX,Gas,CC-RC,2
368,1907,-75.525,39.625,2,2,NJ,Coal,ST-RC,3
369,1909,-75.475,43.875,5,3,NY,Gas,CC-RC,0
370,1910,-76.225,43.075,5,3,NY,Gas,CC-RC,0
371,1911,-77.225,37.325,5,3,VA,Gas,CC-RC,1
372,1914,-94.625,35.175,2,2,OK,Coal,ST-RC,1
373,1915,-81.625,30.425,2,2,FL,Coal,ST-RC,2
374,1920,-78.725,39.575,2,2,MD,Coal,ST-RC,3
375,1924,-73.775,42.475,5,3,NY,Gas,CC-RC,0
376,1925,-72.525,42.175,5,3,MA,Gas,CC-RC,0
377,1926,-95.075,29.625,5,3,TX,Gas,CC-RC,2
378,1927,-79.975,39.625,1,2,WV,Coal,ST-OT,3
379,1928,-84.175,43.575,5,3,MI,Gas,CC-RC,0
380,1929,-75.125,39.925,5,3,NJ,Gas,CC-RC,3
381,1930,-107.725,39.525,5,3,CO,Gas,CC-RC,4
382,1931,-93.725,30.075,5,3,TX,Gas,CC-RC,5
383,1936,-91.675,41.975,2,2,IA,Coal,ST-RC,0
384,1937,-88.875,39.875,2,2,IL,Coal,ST-RC,3
385,1939,-88.925,39.825,2,2,IL,Coal,ST-RC,3
386,1940,-73.225,42.425,5,3,MA,Gas,CC-RC,0
387,1941,-74.225,40.625,5,3,NJ,Gas,CC-RC,3
388,1945,-95.025,29.675,5,3,TX,Gas,CC-RC,2
389,1946,-75.425,39.775,5,3,PA,Gas,CC-RC,3
390,1947,-95.575,33.725,5,3,TX,Gas,CC-RC,1
391,1948,-97.725,30.275,5,3,TX,Gas,CC-RC,5
392,1951,-98.575,33.875,5,3,TX,Gas,CC-RC,1
393,1956,-90.375,29.925,5,3,LA,Gas,CC-RC,2
394,1957,-94.825,29.425,5,3,TX,Gas,CC-RC,2
395,1959,-76.775,35.875,1,1,NC,Bio-power,ST-OT,1
396,1960,-79.025,43.075,2,1,NY,Bio-power,ST-RC,0
397,1961,-118.225,33.825,5,3,CA,Gas,CC-RC,1
398,1968,-74.125,40.725,5,3,NJ,Gas,CC-RC,3
399,1970,-81.075,32.075,2,1,GA,Bio-power,ST-RC,5
400,1970,-81.075,32.075,2,2,GA,Coal,ST-RC,5
401,1971,-88.025,30.725,1,2,AL,Coal,ST-OT,5
402,1971,-88.025,30.725,1,1,AL,Bio-power,ST-OT,5
403,1973,-73.775,43.225,5,3,NY,Gas,CC-RC,0
404,1978,-93.275,30.225,5,3,LA,Gas,CC-RC,5
405,1979,-80.875,39.775,1,2,WV,Coal,ST-OT,3
406,1980,-74.125,40.625,5,3,NJ,Gas,CC-RC,3
407,1983,-77.675,36.475,5,3,NC,Gas,CC-RC,1
408,1984,-97.625,35.425,5,3,OK,Gas,CC-RC,1
409,1985,-75.175,39.875,5,3,NJ,Gas,CC-RC,3
410,1987,-94.075,30.075,5,3,TX,Gas,CC-RC,5
411,1989,-104.675,40.375,5,3,CO,Gas,CC-RC,4
412,1990,-104.825,40.075,5,3,CO,Gas,CC-RC,4
413,1996,-75.625,43.075,5,3,NY,Gas,CC-RC,0
414,1998,-75.875,40.875,2,2,PA,Coal,ST-RC,3
415,2000,-74.325,40.475,5,3,NJ,Gas,CC-RC,3
